model,test_auc,test_recall,test_precision,test_f1,firms_caught,firms_missed,threshold
Baseline,0.6431,0.464,0.342,0.394,679,784,0.5
Baseline + Temporal (0.50),0.6677156976456025,0.4955570745044429,0.3546966731898239,0.4134587966923296,725,738,0.5
FINAL (Temporal + Optimal Threshold),0.6677156976456025,0.40874914559125086,0.3637469586374696,0.38493723849372385,598,865,0.5203729823533999
