model,test_auc,test_recall,test_precision,test_f1,train_auc,train_recall,train_precision,train_f1
Original (Medium Reg),0.6431,0.4641,0.3422,0.394,,,,
Medium Reg + Temporal,0.6735656548772343,0.50580997949419,0.3552568410945751,0.4173716864072194,0.7726995229360907,0.6847977684797768,0.3713601411824026,0.4815692684920311
