strategy,threshold,precision,recall,f1,tp,fp,tn,fn,description
Default (0.50),0.5,0.34223790322580644,0.46411483253588515,0.39396576733391353,679,1305,3508,784,Standard threshold
F1-Optimized,0.4428879282844743,0.30247792651666194,0.7259056732740943,0.4270205066344994,1062,2449,2364,401,Maximizes F1-Score
Recall ≥ 0.55,0.48206105887653034,0.3265720081135903,0.5502392344497608,0.409877800407332,805,1660,3153,658,"Target 55% recall, maximize precision"
Recall ≥ 0.60,0.4710713576601863,0.3211811884797667,0.6021872863978127,0.4189253447456015,881,1862,2951,582,"Target 60% recall, maximize precision"
Cost-Sensitive (3:1),0.46608649469320496,0.3186393613328705,0.6274777853725222,0.42265193370165743,918,1963,2850,545,FN cost = 3x FP cost
Youden Index,0.46608649469320496,0.3186393613328705,0.6274777853725222,0.42265193370165743,918,1963,2850,545,Balanced sensitivity/specificity
