year,samples,distressed,auc,recall,precision,f1,tp,fp,fn,tn
2021,2079,1070,0.7275075720385688,0.7261682242990655,0.6845814977973568,0.7047619047619048,777,358,293,651
2022,2096,310,0.6323899143878915,0.6129032258064516,0.1962809917355372,0.297339593114241,190,778,120,1008
2023,2101,83,0.5305025851672298,0.5301204819277109,0.04259438528557599,0.07885304659498207,44,989,39,1029
