Tier,Firms,% Total,Avg PD,Distress,Distress Rate,Capture %
Low Risk,308,4.907584448693435,0.018358391792437482,9.0,0.02922077922077922,0.6151742993848257
Medium Risk,1554,24.760994263862333,0.12695887176949378,198.0,0.1274131274131274,13.533834586466165
High Risk,2546,40.567240280433396,0.22311843612922977,574.0,0.22545168892380205,39.23444976076555
Critical Risk,1868,29.764181007010837,0.3784686374617243,682.0,0.36509635974304067,46.616541353383454
