fold,train_size,val_size,train_period,val_period,n_features,auc,accuracy,precision,recall,f1
1,3666,3661,2010-01-31 to 2012-03-31,2012-03-31 to 2013-12-31,39,0.48132907264901537,0.6077574433214968,0.05064194008559201,0.4034090909090909,0.08998732572877059
2,7327,3661,2010-01-31 to 2013-12-31,2013-12-31 to 2015-09-30,39,0.4236035828239727,0.5965583173996176,0.27933673469387754,0.19363395225464192,0.22872062663185377
3,10988,3661,2010-01-31 to 2015-09-30,2015-09-30 to 2017-06-30,39,0.6282663088363032,0.6752253482655012,0.16567544604927784,0.48507462686567165,0.24699176694110198
4,14649,3661,2010-01-31 to 2017-06-30,2017-06-30 to 2019-03-31,39,0.6119826781454207,0.6014750068287353,0.3283289817232376,0.5391211146838156,0.4081135902636917
5,18310,3661,2010-01-31 to 2019-03-31,2019-03-31 to 2020-12-31,39,0.5674490363700744,0.6044796503687517,0.24638728323699421,0.4571045576407507,0.32018779342723
