method,auc,brier,ece
Uncalibrated,0.6640839503113638,0.215993118239762,0.21886355119964265
Platt Scaling,0.6640839503113638,0.1682918645476615,0.017667027183848924
Isotonic Regression,0.6621999105436321,0.16847281683263599,0.014014849304666153
