bin,count,distressed,actual_rate,predicted_rate,calibration_error
0.0-0.1,2,0,0.0,0.0847573350145453,0.0847573350145453
0.1-0.2,51,2,0.0392156862745098,0.16905949880746,0.1298438125329502
0.2-0.3,445,24,0.05393258426966292,0.26566366344814996,0.21173107917848705
0.3-0.4,1520,214,0.14078947368421052,0.35466225223403336,0.21387277854982284
0.4-0.5,2214,498,0.22493224932249323,0.44976200057730575,0.22482975125481253
0.5-0.6,1540,501,0.32532467532467535,0.5439725648389854,0.21864788951431002
0.6-0.7,482,211,0.43775933609958506,0.6359062073958355,0.19814687129625042
0.7-0.8,22,13,0.5909090909090909,0.723064692950211,0.1321556020411201
