model,train_acc,train_prec,train_rec,train_f1,train_auc,train_ap,test_acc,test_prec,test_rec,test_f1,test_auc,test_ap
LightGBM,0.7499886213645259,0.3725112395632627,0.404463040446304,0.3878301571380809,0.6917035101729544,0.3661257200392904,0.7265774378585086,0.3751233958538993,0.2597402597402597,0.3069466882067851,0.6343670927692274,0.3361602592425772
XGBoost,0.6519502981202494,0.3072934669892845,0.6199442119944212,0.4109082505199908,0.6930677019868879,0.3731637472708187,0.628585086042065,0.318105616093881,0.518796992481203,0.3943881527669525,0.6285787708415023,0.3251938901219848
Random Forest,0.6845387101178827,0.3298822311375695,0.592515109251511,0.4238091279408097,0.7082160591457896,0.4068759517396191,0.6556724028043339,0.3228426395939086,0.4347231715652768,0.3705214098456161,0.6142473555401262,0.3176764607168599
Logistic Regression,0.5548677802557918,0.2387945832538623,0.5820548582054859,0.3386529618609684,0.5889798139605203,0.2496731359805647,0.6069152326322499,0.291007493755204,0.4777853725222146,0.3617076326002587,0.5993843002383469,0.2835444741469355
Exp19_CatBoost,0.8299576714760366,0.5417527294187076,0.8535564853556485,0.6628158844765343,0.9205377311420067,0.7595646302009029,0.7055449330783938,0.35730170496664193,0.32946001367054,0.34281650071123754,0.6323922777496979,0.3306659526151734
Exp19_HistGradientBoosting,0.8811615311091894,0.9699833240689272,0.40562529056252905,0.5720373709227995,0.9570418438195276,0.8854745564536433,0.7638623326959847,0.4,0.025974025974025976,0.04878048780487805,0.6261625675165758,0.32415761260972475
Exp19_ExtraTrees,0.6822174684811797,0.34009546539379476,0.6624825662482566,0.4494559217788992,0.7449394397240079,0.4436472289499721,0.6169534735500318,0.29623213512343005,0.4675324675324675,0.36267232237539765,0.5940588111572398,0.29789382742009307
Exp19_AdaBoost,0.8041964407628237,0.0,0.0,0.0,0.5982878790856786,0.2587430197316105,0.7668897386870618,0.0,0.0,0.0,0.6004806701603753,0.3163198760844014
Exp19_BalancedRandomForest,0.7667834873242001,0.443590447433434,0.7512784751278475,0.557818432861581,0.8450549240634754,0.6188244396310375,0.67861695347355,0.33932714617169374,0.3998632946001367,0.36711641041732035,0.6252624648526101,0.32144681454369267
