fold,train_size,val_size,train_period,val_period,auc,accuracy,precision,recall,f1
1,3666,3661,2010-01-31 to 2012-03-31,2012-03-31 to 2013-12-31,0.48902765097169687,0.6022944550669216,0.05056179775280899,0.4090909090909091,0.09
2,7327,3661,2010-01-31 to 2013-12-31,2013-12-31 to 2015-09-30,0.5631834432434133,0.6790494400437039,0.42517006802721086,0.11052166224580018,0.17543859649122806
3,10988,3661,2010-01-31 to 2015-09-30,2015-09-30 to 2017-06-30,0.643094744137551,0.6498224528817264,0.1661608497723824,0.5447761194029851,0.25465116279069766
4,14649,3661,2010-01-31 to 2017-06-30,2017-06-30 to 2019-03-31,0.5455955939437943,0.589183283255941,0.2905355832721937,0.42443729903536975,0.34494773519163763
5,18310,3661,2010-01-31 to 2019-03-31,2019-03-31 to 2020-12-31,0.5591007960121218,0.5809888008740781,0.22976680384087791,0.44906166219839144,0.3039927404718693
