feature
atq
ltq
niq
saleq
seqq
debt_to_equity
debt_to_assets
leverage
current_ratio
cash_ratio
roa
roe
profit_margin
asset_turnover
altman_z_score
price
return_1m
log_market_cap
momentum_3m
momentum_12m
volatility_3m
volatility_12m
max_drawdown_12m
cds_spread_lag1
cds_spread_lag4
return_lag1
return_lag4
atq_change
saleq_change
atq_qoq_change
ltq_qoq_change
niq_qoq_change
saleq_qoq_change
seqq_qoq_change
debt_to_equity_qoq_change
debt_to_assets_qoq_change
leverage_qoq_change
current_ratio_qoq_change
cash_ratio_qoq_change
roa_qoq_change
roe_qoq_change
profit_margin_qoq_change
asset_turnover_qoq_change
altman_z_score_qoq_change
atq_ma4
ltq_ma4
niq_ma4
saleq_ma4
seqq_ma4
debt_to_equity_ma4
debt_to_assets_ma4
leverage_ma4
current_ratio_ma4
cash_ratio_ma4
roa_ma4
roe_ma4
profit_margin_ma4
asset_turnover_ma4
altman_z_score_ma4
atq_ma8
ltq_ma8
niq_ma8
saleq_ma8
seqq_ma8
debt_to_equity_ma8
debt_to_assets_ma8
leverage_ma8
current_ratio_ma8
cash_ratio_ma8
roa_ma8
roe_ma8
profit_margin_ma8
asset_turnover_ma8
altman_z_score_ma8
atq_trend4q
ltq_trend4q
niq_trend4q
saleq_trend4q
seqq_trend4q
debt_to_equity_trend4q
debt_to_assets_trend4q
leverage_trend4q
current_ratio_trend4q
cash_ratio_trend4q
roa_trend4q
roe_trend4q
profit_margin_trend4q
asset_turnover_trend4q
altman_z_score_trend4q
