model,features,train_auc,train_recall,train_precision,train_f1,test_auc,test_recall,test_precision,test_f1
CDS-Only,2,0.6316091998480556,0.5327754532775453,0.2706980040155899,0.35899443965854805,0.6372019617068663,0.5222146274777854,0.3491773308957952,0.4185154752122706
Full Model,29,,,,,0.6431,0.4641,0.3422,0.394
