epoch,train_loss,val_loss,train_auc,val_auc
1,0.09592313319444656,0.04633748158812523,0.5451452136039734,0.5389772653579712
2,0.04805539548397064,0.0461040697991848,0.5641120672225952,0.5323737859725952
3,0.04775143787264824,0.04682976007461548,0.5606999397277832,0.5393651723861694
4,0.04763288423418999,0.04582246020436287,0.5629165172576904,0.5462462306022644
5,0.04769899323582649,0.046464890241622925,0.5628442764282227,0.5314342379570007
6,0.04751025140285492,0.0468476228415966,0.5750669240951538,0.5447795391082764
7,0.04763704910874367,0.04627574607729912,0.5740289688110352,0.5308281183242798
8,0.047451749444007874,0.0465720109641552,0.5928040146827698,0.5554702281951904
9,0.047602999955415726,0.04742525890469551,0.6009219288825989,0.5296421051025391
10,0.04776477813720703,0.04700641706585884,0.5990143418312073,0.5398308038711548
11,0.04748880863189697,0.04833980277180672,0.6110033988952637,0.5446814298629761
12,0.04738936200737953,0.048729635775089264,0.6216918230056763,0.5455013513565063
13,0.04734959453344345,0.048106905072927475,0.6254856586456299,0.5323560237884521
14,0.04723591357469559,0.048483945429325104,0.6263289451599121,0.5467173457145691
15,0.046414654701948166,0.04700758680701256,0.6446014046669006,0.5490567684173584
16,0.046357929706573486,0.04836466535925865,0.6422955393791199,0.5537924766540527
17,0.046273499727249146,0.04817010462284088,0.6521071195602417,0.5402488112449646
18,0.04614647105336189,0.04745728522539139,0.6604897975921631,0.54853355884552
19,0.046217355877161026,0.04781656712293625,0.659298300743103,0.5441393256187439
20,0.04612627997994423,0.0480182021856308,0.6622658967971802,0.5477626323699951
21,0.04615623503923416,0.04764006286859512,0.6646502614021301,0.546019434928894
22,0.046012360602617264,0.04801207780838013,0.6698668003082275,0.5414397716522217
23,0.04583832249045372,0.04809151962399483,0.6737236976623535,0.5503721237182617
24,0.04598456993699074,0.048535481095314026,0.6717367768287659,0.5489572882652283
