model,auc,f1,precision,recall,accuracy,avg_precision,brier_score
Original LightGBM,0.6481452105037352,0.37470248214892893,0.37280108254397837,0.37662337662337664,0.7069789674952199,0.34591025097408296,0.19785939538490938
Light Regularization,0.6363686069526612,0.3713106950174548,0.346563981042654,0.3998632946001367,0.6843530911408541,0.3305834908861155,0.2086385258953585
Medium Regularization,0.6430725113787433,0.39396576733391353,0.34223790322580644,0.46411483253588515,0.667144678138942,0.3348074627639186,0.21992936301327204
Original (Baseline),0.6481452105037352,0.37470248214892893,0.37280108254397837,0.37662337662337664,0.7069789674952199,0.34591025097408296,0.19785939538490938
Strong Regularization,0.6188427361019135,0.21567648527209185,0.4,0.14764183185235816,0.7496813256851498,0.32548884429342306,0.21407074358313685
Very Strong Regularization,0.6070671976770592,0.0013651877133105802,0.5,0.000683526999316473,0.7668897386870618,0.3184743787063518,0.19654429445029728
