strategy,threshold,recall,precision,f1,fp_rate,caught,missed,false_alarms
Current (F1-optimized),0.4429,0.531784005468216,0.33914559721011334,0.4141602342294384,0.31498026179098276,778,685,1516
Precision ≥ 0.40,0.5600000000000003,0.23239917976760083,0.4042806183115339,0.29513888888888884,0.1040930812383129,340,1123,501
FP Rate ≤ 20%,0.5000000000000002,0.37662337662337664,0.37280108254397837,0.37470248214892893,0.192603365884064,551,912,927
