config,model,test_auc,test_ap,threshold,test_precision,test_recall,test_f1,train_auc,train_ap,train_precision,train_recall,train_f1,train_accuracy,test_accuracy
Baseline,XGBoost,0.6324416996062867,0.3228442964494973,0.45,0.333,0.471,0.39,,,,,,,
Baseline,LightGBM,0.6271238794339608,0.318083905511562,0.45,0.333,0.471,0.39,,,,,,,
Top10,XGBoost_Top10,0.6384434728284172,0.32515500331529557,0.45,0.2966101694915254,0.7177033492822966,0.41974815110933433,0.704292272758165,0.374138991489721,0.2627246639480441,0.8086936308693631,0.3966028271773826,0.5181830594875062,0.5374442319949012
Top10,LightGBM_Top10,0.6419085414459784,0.3297052235786676,0.45,0.2966077936641435,0.7231715652768285,0.420675944333996,0.7018813914711771,0.37265177222024337,0.26070387805424794,0.8110181311018131,0.3945716709075488,0.5126757999180738,0.535691523263225
