threshold_pct,n_selected,n_distressed,n_total_distressed,precision,recall,f1,avg_probability,min_probability
5,313,113,1463,0.3610223642172524,0.07723855092276145,0.12725225225225226,0.64383745,0.6109181
10,627,226,1463,0.36044657097288674,0.1544771018455229,0.21626794258373205,0.6177768,0.5767311
15,941,350,1463,0.37194473963868224,0.23923444976076555,0.2911813643926789,0.6002559,0.55468315
20,1255,452,1463,0.3601593625498008,0.3089542036910458,0.33259749816041206,0.58653796,0.5367789
30,1882,640,1463,0.34006376195536664,0.4374572795625427,0.38266068759342303,0.56520087,0.5092568
50,3138,954,1463,0.30401529636711283,0.6520847573479153,0.41469245816126926,0.5335632,0.46352747
