threshold_pct,n_selected,n_distressed,precision,recall,f1,avg_probability,min_probability
5,1098,571,0.5200364298724954,0.13272896327289632,0.2114814814814815,0.6789943,0.64003915
10,2197,986,0.4487938097405553,0.2291957229195723,0.3034312971226343,0.6492753,0.60295224
15,3295,1360,0.41274658573596357,0.31613203161320313,0.35803606686850065,0.6293787,0.57753974
20,4394,1692,0.38507055075102414,0.39330543933054396,0.3891444342226311,0.61371744,0.5572167
30,6591,2289,0.34729176149294494,0.5320781032078103,0.42026989809969706,0.589502,0.5261074
50,10985,3140,0.2858443331816113,0.7298930729893073,0.41080656767187806,0.5537778,0.47487354
