Model,Mean_Cal_Error,Max_Cal_Error,ECE,Brier_Score,Log_Loss,AUC,Cal_Error_Improvement_%
Original,0.1563823402674887,0.25217572332255744,0.1562086865951866,0.19804969002790832,0.5805956230328172,0.6481280137240357,0.0
Platt Scaling,0.01364089004689838,0.04300851825457791,0.013647596820504645,0.16999101029462027,0.5183720022107708,0.6481280137240357,91.27721837161029
Isotonic Regression,0.018172748380824513,0.05809453671105763,0.014546727486625765,0.17083235780956013,0.521071657257622,0.6395959871105341,88.37928352412402
