model,roc_auc,avg_precision,threshold,top_feature
XGBoost,0.6324416996062867,0.3228442964494973,0.45000000000000007,cds_spread_lag1
LightGBM,0.6271238794339608,0.318083905511562,0.45000000000000007,cds_spread_lag1
