feature,mean_abs_shap,mean_shap,std_shap
cds_spread_lag1,0.18360601440192859,0.010808324352732242,0.25008338765763793
altman_z_score,0.09919740590600387,0.01794659710218034,0.11329313763591568
return_1m,0.09677380874095937,0.015690974593165954,0.0993695816267469
volatility_12m,0.0916529939779153,-0.0729190860453426,0.07873092506383755
momentum_12m,0.08506826610151294,-0.04781144538126413,0.08783810903860836
debt_to_assets,0.05590419128289531,0.0073246488972480706,0.08944096617214896
debt_to_equity,0.05243053049857375,0.01190037977420069,0.07216389286787761
cds_spread_lag4,0.04529938296342795,0.005731294695404225,0.052035646888037294
momentum_3m,0.03373038348551273,0.006604293489865438,0.04376178410259909
profit_margin,0.02884632586201253,-0.0003707978921351302,0.037225525753992836
leverage,0.027434293952579618,-0.0029393844316170674,0.03775967962546848
return_lag1,0.02669970254110547,-0.0018497153828435722,0.05093302491910726
roa,0.023731671035952497,-0.002081420160311503,0.03739663283439404
volatility_3m,0.018118566191318096,0.007130580222918939,0.024795187936096204
ltq,0.016987147535103046,-0.0009729791100265518,0.025322781913589245
niq,0.014844188594659094,-0.0013561759434208526,0.020104740024427574
return_lag4,0.013190215551396387,0.0005811117223777241,0.017625598438161378
saleq,0.013125214421431103,-0.0005312903074778355,0.022318930091786735
cash_ratio,0.012560305917473608,0.001170584492648042,0.015594299874099452
asset_turnover,0.012421068449552364,-0.0023571317379832016,0.01855552185218788
roe,0.012369021110212812,-3.889079251540242e-05,0.01632911581313009
log_market_cap,0.011985760010803249,-0.002085889709818308,0.016213804095068216
saleq_change,0.011246093651682438,-0.0006086227218888595,0.013703597721241183
atq,0.008837619193631515,0.0016149923540637393,0.01650185172747454
current_ratio,0.007645351589888439,0.001218493464850594,0.009474346065817874
max_drawdown_12m,0.004991598501958851,-8.999584449386425e-05,0.007393873884320689
seqq,0.00498607556458305,-0.0008009293121069137,0.008029683080617505
price,0.004482571088225635,-0.001421285260445333,0.006264061469444561
atq_change,0.0005329247865541473,-0.00014632507751731426,0.0017938423802768913
