year,n_obs,n_distress,distress_rate,accuracy,precision,recall,f1,auc
2021,2079,1070.0,0.5146705146705147,0.6190476190476191,0.615257048092869,0.6934579439252336,0.6520210896309315,0.6470059186943675
2022,2096,310.0,0.14790076335877864,0.47900763358778625,0.17524916943521596,0.6806451612903226,0.27873183619550856,0.6041090199761587
2023,2101,83.0,0.039504997620180865,0.518324607329843,0.052073288331726135,0.6506024096385542,0.09642857142857145,0.6057052789950685
