model,threshold,train_acc,train_prec,train_rec,train_f1,train_auc,train_ap,test_acc,test_prec,test_rec,test_f1,test_auc,test_ap
XGBoost Optimized,0.45000000000000007,0.5273314824086296,0.2732085601372008,0.8516968851696886,0.4137074465082143,0.7410416689524888,0.4361154767728621,0.5216698534098152,0.2916328188464663,0.7361585782638415,0.4177657098525989,0.6324416996062867,0.3228442964494973
LightGBM Optimized,0.45000000000000007,0.5352054981566611,0.27132022906670794,0.8149697814969782,0.40710636321411986,0.7198497032798936,0.3951985723879615,0.538559592096877,0.29213809109370464,0.6883116883116883,0.410183299389002,0.6271238794339608,0.318083905511562
