year,n_obs,n_distress,distress_rate,accuracy,precision,recall,f1,auc
2021,2079,1070.0,0.5146705146705147,0.6204906204906205,0.607006854531607,0.7448598130841122,0.6689047419219472,0.6514500338078786
2022,2096,310.0,0.14790076335877864,0.4627862595419847,0.17823343848580442,0.7290322580645161,0.2864385297845374,0.613452299245024
2023,2101,83.0,0.039504997620180865,0.4826273203236554,0.048561151079136694,0.6506024096385542,0.09037656903765691,0.5751549309228987
