model,train_acc,train_prec,train_rec,train_f1,train_auc,train_ap,test_acc,test_prec,test_rec,test_f1,test_auc,test_ap
LightGBM,0.7499886213645259,0.3725112395632627,0.40446304044630405,0.3878301571380809,0.6917035101729544,0.36612572003929045,0.7265774378585086,0.3751233958538993,0.2597402597402597,0.3069466882067851,0.6343670927692274,0.3361602592425772
XGBoost,0.6519502981202494,0.3072934669892845,0.6199442119944212,0.4109082505199908,0.6930677019868879,0.3731637472708187,0.628585086042065,0.318105616093881,0.518796992481203,0.3943881527669525,0.6285787708415023,0.32519389012198485
Random Forest,0.6845387101178827,0.32988223113756954,0.592515109251511,0.4238091279408097,0.7082160591457896,0.40687595173961916,0.6556724028043339,0.32284263959390863,0.43472317156527684,0.3705214098456161,0.6142473555401262,0.31767646071685995
Logistic Regression,0.5548677802557918,0.2387945832538623,0.5820548582054859,0.3386529618609684,0.5889798139605203,0.24967313598056476,0.6069152326322499,0.291007493755204,0.47778537252221465,0.36170763260025873,0.5993843002383469,0.2835444741469355
