feature,importance
cds_spread_lag1,82
volatility_12m,61
cds_spread_lag4,40
return_lag1,33
momentum_12m,30
return_1m,29
altman_z_score,28
debt_to_assets,28
momentum_3m,27
debt_to_equity,27
leverage,21
profit_margin,18
return_lag4,18
asset_turnover,18
atq,17
roa,16
volatility_3m,14
ltq,14
log_market_cap,13
saleq,10
niq,9
roe,9
seqq,8
current_ratio,8
cash_ratio,7
price,6
saleq_change,5
max_drawdown_12m,3
atq_change,1
