Model,AUC,Accuracy,Precision,Recall,F1
LightGBM (baseline),0.5687044756177696,0.7665710643722116,0.4375,0.004784688995215311,0.009465855307640297
LightGBM (optimized),0.47235592712207586,0.7668897386870618,0.0,0.0,0.0
LightGBM (calibrated isotonic),0.5810342347188826,0.7670490758444869,1.0,0.000683526999316473,0.0013661202185792352
LightGBM (calibrated platt),0.5687044756177696,0.7662523900573613,0.42857142857142855,0.008202323991797676,0.01609657947686117
XGBoost,0.5115411396481305,0.7668897386870618,0.0,0.0,0.0
