threshold,train_f1,train_precision,train_recall,test_f1,test_precision,test_recall
0.1,0.37740152644968855,0.23259083044982698,1.0,0.3990017615971815,0.25406618059450364,0.9289131920710868
0.15000000000000002,0.4215167548500882,0.2670391061452514,1.0,0.4037025008119519,0.26474973375931843,0.849624060150376
0.20000000000000004,0.47567448031844317,0.31205570868997534,1.0,0.406711654203903,0.277363184079602,0.7621326042378674
0.25000000000000006,0.5410299943406904,0.3708301008533747,1.0,0.4083682008368201,0.29424178474525176,0.6671223513328777
0.30000000000000004,0.6120793910507221,0.44100461301896465,1.0,0.3956626506024096,0.3055452177149237,0.5611756664388243
0.3500000000000001,0.6877799104286628,0.5242623750304803,0.99953509995351,0.38009049773755654,0.32416787264833574,0.45933014354066987
0.40000000000000013,0.7589988502697445,0.6125624553890079,0.997443049744305,0.35060280221570544,0.33499377334993774,0.3677375256322625
0.45000000000000007,0.8257502420135527,0.7075315195753152,0.9913993491399349,0.3030757689422356,0.33582709891936824,0.2761449077238551
0.5000000000000001,0.8753635230577482,0.7912129177619226,0.9795443979544398,0.2573749465583583,0.3436073059360731,0.20574162679425836
0.5500000000000002,0.9053589259957839,0.8660581617490979,0.9483960948396095,0.20901246404602108,0.34991974317817015,0.14900888585099112
0.6000000000000002,0.912737508796622,0.9211647727272727,0.904463040446304,0.14712153518123666,0.3341404358353511,0.09432672590567327
0.6500000000000001,0.8896885469661249,0.9542187915890338,0.8333333333333334,0.11182294700058241,0.3779527559055118,0.06561859193438141
0.7000000000000002,0.8354161127359745,0.9757763975155279,0.7303579730357973,0.06866416978776528,0.39568345323741005,0.03759398496240601
0.7500000000000002,0.7411815938452605,0.9868573637417859,0.5934449093444909,0.044069993519118604,0.425,0.02323991797676008
0.8000000000000002,0.5900996569188042,0.9928532160527762,0.4198047419804742,0.022651565622918052,0.4473684210526316,0.01161995898838004
0.8500000000000002,0.3862869988759835,0.9951737451737451,0.2396559739655974,0.012153950033760973,0.5,0.006151742993848257
